Team,AdjRank,TotalGames,TotalWins,Q1_Record,Q1_Games,Q1_WinPct,Q1_NetEff,Q2_Record,Q2_Games,Q2_WinPct,Q2_NetEff,Q3_Record,Q3_Games,Q3_WinPct,Q3_NetEff,Q4_Record,Q4_Games,Q4_WinPct,Q4_NetEff
Huston-Tillotson,999.0,2,0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-1,1,0.0,-59.5,0-1,1,0.0,-30.2
Santa Clara,999.0,11,9,0-2,2,0.0,-26.8,0-0,0,0.0,0.0,3-0,3,1.0,28.2,6-0,6,1.0,26.4
San Diego,999.0,9,5,0-1,1,0.0,-6.5,0-1,1,0.0,-10.1,2-0,2,1.0,10.9,3-2,5,0.6,9.0
25UCLA*,999.0,1,0,0-1,1,0.0,-16.4,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0
18Kentucky*,999.0,1,0,0-1,1,0.0,-49.6,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0
Columbia College (SC),999.0,2,0,0-1,1,0.0,-72.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-1,1,0.0,-65.4
New Mexico State*,999.0,1,1,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,1-0,1,1.0,25.4
Samford*,999.0,1,1,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,1-0,1,1.0,23.4
MIT,999.0,1,0,0-0,0,0.0,0.0,0-1,1,0.0,-45.7,0-0,0,0.0,0.0,0-0,0,0.0,0.0
Jackson State*,999.0,1,0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-1,1,0.0,-10.5,0-0,0,0.0,0.0
Howard*,999.0,1,1,0-0,0,0.0,0.0,0-0,0,0.0,0.0,1-0,1,1.0,5.7,0-0,0,0.0,0.0
Apprentice School,999.0,1,0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-1,1,0.0,-57.9,0-0,0,0.0,0.0
Holy Cross*,999.0,1,1,0-0,0,0.0,0.0,0-0,0,0.0,0.0,1-0,1,1.0,10.0,0-0,0,0.0,0.0
Virginia,999.0,5,5,1-0,1,1.0,28.4,0-0,0,0.0,0.0,0-0,0,0.0,0.0,4-0,4,1.0,37.3
Haskell,999.0,2,0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-2,2,0.0,-40.2
Ripon,999.0,1,0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-1,1,0.0,-33.0
19Kansas,999.0,1,1,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,1-0,1,1.0,55.6
Oklahoma State*,999.0,2,1,1-1,2,0.5,-2.2,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0
Iowa*,999.0,1,1,1-0,1,1.0,18.7,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0
Utah*,999.0,3,1,0-1,1,0.0,-19.4,1-0,1,1.0,1.6,0-1,1,0.0,-9.6,0-0,0,0.0,0.0
Regis,999.0,1,0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-1,1,0.0,-38.0
Old Westbury,999.0,1,0,0-0,0,0.0,0.0,0-1,1,0.0,-121.3,0-0,0,0.0,0.0,0-0,0,0.0,0.0
Merrimack*,999.0,2,1,0-0,0,0.0,0.0,0-1,1,0.0,-27.9,0-0,0,0.0,0.0,1-0,1,1.0,8.5
La Salle*,999.0,1,0,0-0,0,0.0,0.0,0-1,1,0.0,-7.3,0-0,0,0.0,0.0,0-0,0,0.0,0.0
Molloy,999.0,1,0,0-0,0,0.0,0.0,0-1,1,0.0,-45.8,0-0,0,0.0,0.0,0-0,0,0.0,0.0
Pfeiffer,999.0,2,0,0-1,1,0.0,-85.3,0-0,0,0.0,0.0,0-1,1,0.0,-67.7,0-0,0,0.0,0.0
Mary Baldwin,999.0,2,0,0-1,1,0.0,-134.9,0-0,0,0.0,0.0,0-1,1,0.0,-46.7,0-0,0,0.0,0.0
Incarnate Word*,999.0,1,0,0-1,1,0.0,-17.6,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0
UIC*,999.0,1,0,0-1,1,0.0,-12.6,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0
Averett,999.0,2,0,0-1,1,0.0,-113.8,0-0,0,0.0,0.0,0-1,1,0.0,-63.6,0-0,0,0.0,0.0
Hawai'i Hilo,999.0,1,0,0-1,1,0.0,-87.7,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0
Oregon,999.0,4,3,1-0,1,1.0,1.5,0-1,1,0.0,-15.5,0-0,0,0.0,0.0,2-0,2,1.0,26.4
Park University Gilbert,999.0,1,0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-1,1,0.0,-16.3,0-0,0,0.0,0.0
Miami (OH)-Middletown,999.0,1,0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-1,1,0.0,-80.4
IU Columbus,999.0,1,0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-1,1,0.0,-59.2
North Carolina A&T*,999.0,1,0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-1,1,0.0,-7.0,0-0,0,0.0,0.0
Bowie State,999.0,1,0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-1,1,0.0,-22.1,0-0,0,0.0,0.0
Niagara*,999.0,1,0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-1,1,0.0,-14.5,0-0,0,0.0,0.0
District Of Columbia,999.0,1,0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-1,1,0.0,-45.9,0-0,0,0.0,0.0
Notre Dame*,999.0,2,0,0-1,1,0.0,-16.7,0-1,1,0.0,-13.7,0-0,0,0.0,0.0,0-0,0,0.0,0.0
17Tennessee*,999.0,3,2,1-0,1,1.0,4.9,0-1,1,0.0,-7.2,0-0,0,0.0,0.0,1-0,1,1.0,40.1
Texas A&M-Corpus Christi,999.0,10,3,0-2,2,0.0,-17.3,0-2,2,0.0,-28.8,1-1,2,0.5,0.0,2-2,4,0.5,7.6
College Of Biblical Studies,999.0,9,0,0-0,0,0.0,0.0,0-1,1,0.0,-126.7,0-3,3,0.0,-97.0,0-5,5,0.0,-78.2
Southern Arkansas,999.0,1,0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-1,1,0.0,-4.8
Bradley,999.0,1,0,0-1,1,0.0,-13.3,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0
UC Irvine,999.0,9,5,0-1,1,0.0,-1.5,0-2,2,0.0,-18.0,0-1,1,0.0,-9.7,5-0,5,1.0,17.5
Middle Tennessee,999.0,6,3,0-2,2,0.0,-29.7,0-1,1,0.0,-29.3,1-0,1,1.0,1.4,2-0,2,1.0,30.5
Richmond,999.0,8,5,1-0,1,1.0,10.6,1-2,3,0.33,-4.4,0-1,1,0.0,-6.3,3-0,3,1.0,24.0
Charleston,999.0,1,0,0-0,0,0.0,0.0,0-1,1,0.0,-31.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0
Toledo*,999.0,1,0,0-1,1,0.0,-24.8,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0
Saint Francis*,999.0,1,0,0-1,1,0.0,-51.3,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0
Oral Roberts,999.0,8,1,0-3,3,0.0,-23.8,0-1,1,0.0,-27.6,0-1,1,0.0,-1.8,1-2,3,0.33,-5.3
West Georgia,999.0,14,7,0-3,3,0.0,-40.7,0-1,1,0.0,-20.8,1-1,2,0.5,-1.2,6-2,8,0.75,-2.9
Northern Kentucky,999.0,10,7,0-1,1,0.0,-14.3,0-0,0,0.0,0.0,1-0,1,1.0,24.1,6-2,8,0.75,9.5
Murray State,999.0,7,7,0-0,0,0.0,0.0,0-0,0,0.0,0.0,1-0,1,1.0,34.1,6-0,6,1.0,28.3
Midway University,999.0,4,0,0-0,0,0.0,0.0,0-1,1,0.0,-69.2,0-0,0,0.0,0.0,0-3,3,0.0,-53.5
Houston Christian,999.0,2,0,0-0,0,0.0,0.0,0-1,1,0.0,-33.9,0-0,0,0.0,0.0,0-1,1,0.0,-7.4
The Citadel,999.0,10,0,0-2,2,0.0,-31.8,0-1,1,0.0,-42.2,0-5,5,0.0,-29.2,0-2,2,0.0,-15.9
Notre Dame,999.0,9,7,0-0,0,0.0,0.0,1-2,3,0.33,-6.1,1-0,1,1.0,24.7,5-0,5,1.0,28.1
Southwestern Christian,999.0,3,0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-1,1,0.0,-51.9,0-2,2,0.0,-58.3
Rockford,999.0,1,0,0-1,1,0.0,-74.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0
19Iowa,999.0,1,0,0-1,1,0.0,-8.4,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0
Missouri*,999.0,2,0,0-1,1,0.0,-68.1,0-1,1,0.0,-31.2,0-0,0,0.0,0.0,0-0,0,0.0,0.0
23Nebraska,999.0,1,1,1-0,1,1.0,4.6,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0
13Tennessee*,999.0,1,0,0-1,1,0.0,-21.1,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0
11Texas Tech,999.0,2,1,0-1,1,0.0,-5.3,0-0,0,0.0,0.0,0-0,0,0.0,0.0,1-0,1,1.0,23.4
Evergreen State,999.0,2,0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-2,2,0.0,-59.3,0-0,0,0.0,0.0
Whitman,999.0,1,0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-1,1,0.0,-63.3,0-0,0,0.0,0.0
Montana-Western,999.0,1,0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-1,1,0.0,-19.6,0-0,0,0.0,0.0
Sam Houston*,999.0,2,2,0-0,0,0.0,0.0,0-0,0,0.0,0.0,2-0,2,1.0,20.2,0-0,0,0.0,0.0
Justice College,999.0,3,0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-1,1,0.0,-62.0,0-2,2,0.0,-57.6
Trinity (FL),999.0,1,0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-1,1,0.0,-125.9
11Louisville,999.0,1,1,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,1-0,1,1.0,43.1
Mississippi State*,999.0,2,0,0-1,1,0.0,-28.3,0-0,0,0.0,0.0,0-1,1,0.0,-31.9,0-0,0,0.0,0.0
Eureka,999.0,2,0,0-0,0,0.0,0.0,0-1,1,0.0,-67.7,0-1,1,0.0,-53.6,0-0,0,0.0,0.0
Illinois Tech,999.0,2,0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-1,1,0.0,-37.5,0-1,1,0.0,-54.4
10Nebraska,999.0,1,1,1-0,1,1.0,8.7,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0
Marquette*,999.0,1,0,0-1,1,0.0,-27.9,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0
Texas Lutheran,999.0,2,0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-2,2,0.0,-95.5,0-0,0,0.0,0.0
Southern Indiana*,999.0,2,0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-1,1,0.0,-7.7,0-1,1,0.0,-13.8
Hanover,999.0,1,0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-1,1,0.0,-66.9
Georgia,999.0,3,3,0-0,0,0.0,0.0,0-0,0,0.0,0.0,1-0,1,1.0,41.0,2-0,2,1.0,38.3
7Houston,999.0,1,1,0-0,0,0.0,0.0,1-0,1,1.0,24.9,0-0,0,0.0,0.0,0-0,0,0.0,0.0
3Iowa State,999.0,2,2,0-0,0,0.0,0.0,1-0,1,1.0,12.9,0-0,0,0.0,0.0,1-0,1,1.0,38.9
Arlington Baptist,999.0,3,0,0-0,0,0.0,0.0,0-1,1,0.0,-78.6,0-1,1,0.0,-68.2,0-1,1,0.0,-88.2
Sacramento State,999.0,8,1,0-0,0,0.0,0.0,0-4,4,0.0,-22.4,0-2,2,0.0,-25.3,1-1,2,0.5,-6.8
Creighton*,999.0,1,0,0-0,0,0.0,0.0,0-1,1,0.0,-11.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0
Massachusetts,999.0,8,4,0-0,0,0.0,0.0,0-1,1,0.0,-1.3,1-2,3,0.33,-4.3,3-1,4,0.75,7.4
Buffalo,999.0,1,1,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,1-0,1,1.0,21.5
Earlham College,999.0,1,0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-1,1,0.0,-115.4
Campbell,999.0,1,1,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,1-0,1,1.0,7.0
Evansville,999.0,4,1,0-0,0,0.0,0.0,0-2,2,0.0,-9.4,0-0,0,0.0,0.0,1-1,2,0.5,8.5
Le Moyne*,999.0,1,0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-1,1,0.0,-15.6
Lafayette,999.0,6,1,0-0,0,0.0,0.0,0-1,1,0.0,-18.2,0-1,1,0.0,-24.6,1-3,4,0.25,-8.6
Nebraska*,999.0,1,1,0-0,0,0.0,0.0,0-0,0,0.0,0.0,1-0,1,1.0,1.2,0-0,0,0.0,0.0
McPherson,999.0,1,0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-1,1,0.0,-17.2
Spurgeon College,999.0,1,0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-1,1,0.0,-28.8
Evangel,999.0,1,0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-1,1,0.0,-8.6
Omaha*,999.0,2,0,0-1,1,0.0,-10.5,0-0,0,0.0,0.0,0-1,1,0.0,-16.5,0-0,0,0.0,0.0
Washington and Lee,999.0,1,0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-1,1,0.0,-22.1,0-0,0,0.0,0.0
Auburn-Montgomery,999.0,1,0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-1,1,0.0,-38.0,0-0,0,0.0,0.0
North Dakota State*,999.0,1,1,0-0,0,0.0,0.0,0-0,0,0.0,0.0,1-0,1,1.0,20.0,0-0,0,0.0,0.0
Reinhardt,999.0,2,0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-2,2,0.0,-95.1,0-0,0,0.0,0.0
Pacific*,999.0,1,1,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,1-0,1,1.0,24.6
SMU*,999.0,1,0,0-1,1,0.0,-16.6,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0
22St. John's*,999.0,1,0,0-1,1,0.0,-15.3,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0
17Michigan State*,999.0,1,1,1-0,1,1.0,23.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0
12Louisville,999.0,1,1,0-0,0,0.0,0.0,1-0,1,1.0,8.9,0-0,0,0.0,0.0,0-0,0,0.0,0.0
5Purdue,999.0,2,2,0-0,0,0.0,0.0,0-0,0,0.0,0.0,1-0,1,1.0,44.6,1-0,1,1.0,9.7
Roberts Wesleyan,999.0,1,0,0-0,0,0.0,0.0,0-1,1,0.0,-47.8,0-0,0,0.0,0.0,0-0,0,0.0,0.0
Wright State*,999.0,2,1,0-0,0,0.0,0.0,0-1,1,0.0,-4.9,1-0,1,1.0,43.0,0-0,0,0.0,0.0
Southern Wesleyan,999.0,3,0,0-0,0,0.0,0.0,0-1,1,0.0,-87.9,0-1,1,0.0,-51.9,0-1,1,0.0,-36.1
Oral Roberts*,999.0,1,1,0-0,0,0.0,0.0,1-0,1,1.0,10.3,0-0,0,0.0,0.0,0-0,0,0.0,0.0
Rice*,999.0,2,1,0-0,0,0.0,0.0,0-1,1,0.0,-6.2,0-0,0,0.0,0.0,1-0,1,1.0,28.0
Point University,999.0,1,0,0-0,0,0.0,0.0,0-1,1,0.0,-75.1,0-0,0,0.0,0.0,0-0,0,0.0,0.0
Paine,999.0,1,0,0-0,0,0.0,0.0,0-1,1,0.0,-110.5,0-0,0,0.0,0.0,0-0,0,0.0,0.0
Penn State Hazleton,999.0,1,0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-1,1,0.0,-10.9
Texas State*,999.0,2,0,0-0,0,0.0,0.0,0-1,1,0.0,-23.0,0-0,0,0.0,0.0,0-1,1,0.0,-6.1
UC Santa Barbara*,999.0,2,2,0-0,0,0.0,0.0,1-0,1,1.0,4.4,0-0,0,0.0,0.0,1-0,1,1.0,2.8
Valley Forge,999.0,1,0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-1,1,0.0,-54.0
SUNY Cobleskill,999.0,1,0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-1,1,0.0,-79.6,0-0,0,0.0,0.0
Our Lady Of The Lake,999.0,1,0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-1,1,0.0,-65.3,0-0,0,0.0,0.0
Oakland*,999.0,2,1,0-1,1,0.0,-13.4,0-0,0,0.0,0.0,1-0,1,1.0,18.2,0-0,0,0.0,0.0
Texas A&M-San Antonio,999.0,2,0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-2,2,0.0,-74.0,0-0,0,0.0,0.0
Dickinson (PA),999.0,1,0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-1,1,0.0,-55.7
2Michigan,999.0,3,3,0-0,0,0.0,0.0,0-0,0,0.0,0.0,1-0,1,1.0,50.4,2-0,2,1.0,40.8
Lancasater Bible College,999.0,1,0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-1,1,0.0,-41.2
Penn State*,999.0,1,1,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,1-0,1,1.0,19.4
Monmouth*,999.0,2,1,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-1,1,0.0,-5.4,1-0,1,1.0,9.6
Indiana State,999.0,8,2,0-2,2,0.0,-43.3,1-0,1,1.0,1.3,0-3,3,0.0,-12.9,1-1,2,0.5,10.8
24Wisconsin,999.0,3,3,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,3-0,3,1.0,36.6
Mansfield,999.0,1,0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-1,1,0.0,-43.8
Louisiana,999.0,3,0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-1,1,0.0,-18.6,0-2,2,0.0,-13.1
Eastern Washington,999.0,5,0,0-2,2,0.0,-23.6,0-0,0,0.0,0.0,0-2,2,0.0,-23.9,0-1,1,0.0,-5.6
UC Riverside,999.0,12,4,0-3,3,0.0,-56.0,0-2,2,0.0,-29.4,0-1,1,0.0,-18.8,4-2,6,0.67,6.8
Clemson*,999.0,2,1,0-1,1,0.0,-4.8,1-0,1,1.0,4.3,0-0,0,0.0,0.0,0-0,0,0.0,0.0
California Baptist,999.0,1,0,0-1,1,0.0,-48.4,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0
Dayton*,999.0,1,0,0-1,1,0.0,-5.7,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0
Miami*,999.0,3,1,0-1,1,0.0,-14.2,0-1,1,0.0,-16.7,1-0,1,1.0,19.0,0-0,0,0.0,0.0
23Wisconsin,999.0,2,1,0-1,1,0.0,-38.7,0-0,0,0.0,0.0,1-0,1,1.0,28.3,0-0,0,0.0,0.0
3UConn*,999.0,1,1,1-0,1,1.0,2.7,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0
Delaware,999.0,3,0,0-1,1,0.0,-26.9,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-2,2,0.0,-22.6
Villanova*,999.0,1,0,0-1,1,0.0,-8.1,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0
Lyon,999.0,1,0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-1,1,0.0,-95.2,0-0,0,0.0,0.0
Maine*,999.0,1,0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-1,1,0.0,-5.6,0-0,0,0.0,0.0
Siena*,999.0,2,2,0-0,0,0.0,0.0,0-0,0,0.0,0.0,1-0,1,1.0,11.9,1-0,1,1.0,6.3
Lincoln University (CA),999.0,5,0,0-0,0,0.0,0.0,0-1,1,0.0,-59.7,0-2,2,0.0,-108.5,0-2,2,0.0,-58.6
Williams Baptist,999.0,1,0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-1,1,0.0,-17.2
Towson*,999.0,3,3,1-0,1,1.0,11.9,1-0,1,1.0,5.1,1-0,1,1.0,15.6,0-0,0,0.0,0.0
Vermont*,999.0,3,1,0-1,1,0.0,-22.4,0-1,1,0.0,-8.2,0-0,0,0.0,0.0,1-0,1,1.0,7.6
Kentucky Christian,999.0,4,0,0-1,1,0.0,-101.5,0-1,1,0.0,-59.2,0-0,0,0.0,0.0,0-2,2,0.0,-54.8
Mississippi Valley State*,999.0,1,0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-1,1,0.0,-10.9
Utah Tech*,999.0,2,1,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,1-1,2,0.5,1.5
St. Joseph's (NY),999.0,1,0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-1,1,0.0,-101.2
Maine-Fort Kent,999.0,1,0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-1,1,0.0,-57.8
Washington College (MD),999.0,2,0,0-1,1,0.0,-45.6,0-0,0,0.0,0.0,0-1,1,0.0,-68.4,0-0,0,0.0,0.0
Stonehill*,999.0,1,0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-1,1,0.0,-14.0,0-0,0,0.0,0.0
San José State*,999.0,1,1,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,1-0,1,1.0,14.6
Northern Iowa*,999.0,1,1,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,1-0,1,1.0,28.3
North Texas*,999.0,1,1,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,1-0,1,1.0,3.1
Stetson,999.0,11,3,0-5,5,0.0,-53.6,0-0,0,0.0,0.0,0-3,3,0.0,-27.5,3-0,3,1.0,6.9
Florida Gulf Coast,999.0,4,1,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-3,3,0.0,-9.0,1-0,1,1.0,23.7
Jacksonville,999.0,7,1,0-2,2,0.0,-36.2,0-1,1,0.0,-5.0,0-2,2,0.0,-38.1,1-1,2,0.5,-2.8
North Florida,999.0,8,0,0-3,3,0.0,-55.3,0-3,3,0.0,-34.1,0-2,2,0.0,-11.5,0-0,0,0.0,0.0
East Tennessee State,999.0,3,1,0-1,1,0.0,-26.9,0-1,1,0.0,-1.4,0-0,0,0.0,0.0,1-0,1,1.0,30.4
UT Rio Grande Valley,999.0,14,4,0-2,2,0.0,-19.5,0-1,1,0.0,-20.5,2-2,4,0.5,3.6,2-5,7,0.29,-2.9
Kent State,999.0,6,5,0-0,0,0.0,0.0,1-0,1,1.0,3.9,1-0,1,1.0,16.6,3-1,4,0.75,11.8
Northern Illinois,999.0,8,2,0-1,1,0.0,-45.3,0-5,5,0.0,-21.3,0-0,0,0.0,0.0,2-0,2,1.0,14.5
UNC Greensboro,999.0,9,3,0-2,2,0.0,-61.3,0-0,0,0.0,0.0,1-4,5,0.2,-9.7,2-0,2,1.0,6.4
Bryan (TN),999.0,4,0,0-0,0,0.0,0.0,0-1,1,0.0,-159.8,0-2,2,0.0,-80.8,0-1,1,0.0,-76.5
Texas A&M,999.0,12,11,1-1,2,0.5,-15.0,1-0,1,1.0,8.8,2-0,2,1.0,6.5,7-0,7,1.0,33.6
23Georgia,999.0,1,1,0-0,0,0.0,0.0,0-0,0,0.0,0.0,1-0,1,1.0,4.4,0-0,0,0.0,0.0
6Purdue*,999.0,1,1,0-0,0,0.0,0.0,0-0,0,0.0,0.0,1-0,1,1.0,47.8,0-0,0,0.0,0.0
Chattanooga*,999.0,1,0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-1,1,0.0,-17.6,0-0,0,0.0,0.0
13Vanderbilt,999.0,1,1,0-0,0,0.0,0.0,0-0,0,0.0,0.0,1-0,1,1.0,8.0,0-0,0,0.0,0.0
Wake Forest*,999.0,3,1,0-1,1,0.0,-1.1,0-1,1,0.0,-1.1,1-0,1,1.0,1.4,0-0,0,0.0,0.0
1Purdue*,999.0,1,1,0-0,0,0.0,0.0,0-0,0,0.0,0.0,1-0,1,1.0,13.1,0-0,0,0.0,0.0
Massachusetts-Boston,999.0,1,0,0-0,0,0.0,0.0,0-1,1,0.0,-75.2,0-0,0,0.0,0.0,0-0,0,0.0,0.0
24Virginia,999.0,1,1,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,1-0,1,1.0,31.1
Gwynedd-Mercy,999.0,1,0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-1,1,0.0,-35.1
WVU Tech,999.0,1,0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-1,1,0.0,-81.2,0-0,0,0.0,0.0
6Purdue,999.0,2,2,0-0,0,0.0,0.0,1-0,1,1.0,44.8,0-0,0,0.0,0.0,1-0,1,1.0,30.3
Vassar,999.0,1,0,0-1,1,0.0,-45.2,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0
13Nebraska,999.0,1,1,0-0,0,0.0,0.0,1-0,1,1.0,3.1,0-0,0,0.0,0.0,0-0,0,0.0,0.0
16North Carolina*,999.0,1,0,0-1,1,0.0,-27.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0
Milligan,999.0,2,0,0-1,1,0.0,-75.2,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-1,1,0.0,-68.9
Trinity Christian (IL),999.0,1,0,0-1,1,0.0,-124.6,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0
South Dakota State*,999.0,1,1,0-0,0,0.0,0.0,0-0,0,0.0,0.0,1-0,1,1.0,14.0,0-0,0,0.0,0.0
Penn State-New Kensington,999.0,1,0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-1,1,0.0,-84.3
Baptist (Fl),999.0,1,0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-1,1,0.0,-91.4,0-0,0,0.0,0.0
Oglethorpe,999.0,1,0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-1,1,0.0,-79.5,0-0,0,0.0,0.0
